date,open,high,low,close,adj_close,volume
2025-01-02,247.57754859678104,247.74663833648884,240.50619200781614,243.85000610351562,242.52516174316406,5.54378591134359e7
2025-01-03,242.03782653808594,242.85336358935695,240.5758118291158,243.36000061035156,242.03782653808594,4.002545393882226e7
2025-01-06,242.9826459215422,245.98624232017474,241.8786760145675,245.0,243.6688995361328,4.480086441201969e7
2025-01-07,241.65986382248775,244.21590806857427,240.0387300769128,242.2100067138672,240.89405822753906,4.063402572202999e7
2025-01-08,240.6056476428208,242.38593107741448,238.74581220273618,242.6999969482422,241.38140869140625,3.742446231445592e7
2025-01-10,238.70603757812466,238.85523174451487,231.73412786407496,236.85000610351562,235.56321716308594,6.1375629146811776e7
2025-01-13,232.2612269401141,233.39503269669683,228.47192915300568,234.39999389648438,233.12649536132812,4.9361055693709224e7
2025-01-14,233.47460320476435,234.8371551382162,231.20699165927476,233.27999877929688,232.01258850097656,3.922104800750093e7
2025-01-15,233.36517465190275,237.66171090461415,233.15630892744326,237.8699951171875,236.57762145996094,3.961558839462166e7
2025-01-16,236.06047699847062,236.7168796666606,226.79110553013876,228.25999450683594,227.0198516845703,7.136923083790915e7
2025-01-17,230.85890270118193,231.02797728143995,227.2386791848797,229.97999572753906,228.73052978515625,6.811620764461498e7
2025-01-21,222.78298573737737,223.20070201452856,218.18809151282764,222.63999938964844,221.4303741455078,9.753757376990578e7
2025-01-22,218.59587812819439,222.9023551356524,218.59587812819439,223.8300018310547,222.6139373779297,6.377810185625079e7
2025-01-23,223.51898889751178,225.7965406078772,221.09224303438072,223.66000366210938,222.44485473632812,5.990754322044086e7
2025-01-24,223.55875977197638,224.4041477572621,220.2070739772995,222.77999877929688,221.5696258544922,5.440072405257905e7
2025-01-27,222.80289291870474,230.88871192185238,222.76310174211312,229.86000061035156,228.6111602783203,9.434800262925677e7
2025-01-28,229.5957855991,238.88503723433337,229.55599442275542,238.25999450683594,236.96551513671875,7.529627653563103e7
2025-01-29,232.84800364416722,238.5568232574634,232.73860067537262,239.36000061035156,238.05953979492188,4.5238970611021556e7
2025-01-30,237.3732826437262,239.48175963713217,235.92122345328548,237.58999633789062,236.2991485595703,5.535590345971003e7
2025-01-31,245.84702671405668,245.84702671405668,232.17173004375724,236.0,234.7178192138672,1.0041128849266182e8
2025-02-03,228.7404478557844,230.5704473180637,224.4737473364884,228.00999450683594,226.7711944580078,7.266634012197663e7
2025-02-04,226.0153521080233,231.86341095944582,225.4186058340825,232.8000030517578,231.5352020263672,4.4822449628417686e7
2025-02-05,227.2883891710869,231.4058958330951,227.0298072213747,232.47000122070312,231.2069854736328,3.940504184823468e7
2025-02-06,230.0334043541599,232.5297773409264,229.17807609142312,233.22000122070312,231.9529266357422,2.9762717087390162e7
2025-02-07,231.33629458433444,232.72868233994458,226.02529517161955,227.6300048828125,226.39329528808594,3.949147151884037e7
2025-02-10,228.57379092662126,229.58935370973873,226.21406518332185,227.64999389648438,226.662109375,3.2971895235946532e7
2025-02-11,227.20971719471092,234.2092091135714,227.1400288616486,232.6199951171875,231.61053466796875,5.3485287622158214e7
2025-02-12,230.19669384296432,235.9317077791751,229.67894615315132,236.8699951171875,235.8420867919922,4.5046964602153175e7
2025-02-13,235.8819260401158,241.28835511000761,234.54774465400956,241.52999877929688,240.48187255859375,5.338144010560424e7
2025-02-14,240.2030902821229,244.484433375407,239.94422402720738,244.60000610351562,243.53855895996094,4.0718730034386545e7
2025-02-18,243.0905000064508,244.11602908498713,240.7905267294893,244.47000122070312,243.40911865234375,4.861063376309936e7
2025-02-19,243.59830810290342,244.94244069837237,242.10481731288857,244.8699951171875,243.80738830566406,3.2064450733197074e7
2025-02-20,243.87709210808563,245.7091038330044,243.2299036494767,245.8300018310547,244.7632293701172,3.2176661710588265e7
2025-02-21,244.88267886995578,247.6107939080121,244.155851012499,245.5500030517578,244.4844207763672,5.296654597502604e7
2025-02-24,243.8670982314444,247.7800515637824,243.35931688895815,247.10000610351562,246.02769470214844,5.110366474078646e7
2025-02-25,246.92379728169456,248.91511822751468,243.84721006662005,247.0399932861328,245.96795654296875,4.780494498397253e7
2025-02-26,243.26972892021308,243.91690216055417,238.0922974197643,240.36000061035156,239.31695556640625,4.424077987124746e7
2025-02-27,238.3710773588995,241.4078448384303,236.0312691715791,237.3000030517578,236.27023315429688,4.097501281960748e7
2025-02-28,235.92173324374943,241.03942718971118,229.20102541549332,241.83999633789062,240.79051208496094,5.65867668572459e7
2025-03-03,240.74073286620586,242.97101773746803,235.0853888180174,238.02999877929688,236.99705505371094,4.697924254506577e7
2025-03-04,236.6784633674393,239.02822274747484,233.6615980851158,235.92999267578125,234.9061737060547,5.356464297026602e7
2025-03-05,234.39839184729655,235.5234930679701,228.235250954078,235.74000549316406,234.71701049804688,4.7022655581124954e7
2025-03-06,233.42265485870865,236.82781201573715,232.1482106078643,235.3300018310547,234.3087921142578,4.497438397555482e7
2025-03-07,234.08974000390756,240.32256924437755,233.74125275300776,239.07000732421875,238.03256225585938,4.607279556345631e7
2025-03-10,234.5178647329352,235.13518456664028,223.24699590534985,227.47999572753906,226.4928436279297,7.175844618543346e7
2025-03-11,222.8387656202518,224.8599551431671,216.50636447278404,220.83999633789062,219.88165283203125,7.580699887677512e7
2025-03-12,219.18471261137486,220.78772670269151,213.97741219492326,216.97999572753906,216.03842163085938,6.22760781778426e7
2025-03-13,215.01286026738592,215.89899741537764,207.51553867337546,209.67999267578125,208.7700653076172,6.110198610426248e7
2025-03-14,210.3332680009786,213.02154815111564,208.67051688888432,213.49000549316406,212.5635528564453,5.9846759477849096e7
2025-03-17,212.3843419118567,214.28605714072168,209.0588394397278,214.0,213.07135009765625,4.7864786176563874e7
2025-03-18,213.23066628615402,214.2163605039484,210.57225445008928,212.69000244140625,211.7670440673828,4.224826657360305e7
2025-03-19,213.29037609854922,217.81066771448715,212.82241448637808,215.24000549316406,214.3059539794922,5.414939013243259e7
2025-03-20,213.0613904363763,216.5462020975973,211.29906714235267,214.10000610351562,213.17091369628906,4.865085820602115e7
2025-03-21,210.64192650603025,217.89033350890864,210.36314278996363,218.27000427246094,217.32281494140625,9.371932954519413e7
2025-03-24,220.04097309502072,220.5188858867363,217.63147647971348,220.72999572753906,219.7721405029297,4.410726283992249e7
2025-03-25,219.81195837594151,223.12750944589686,219.12495024533285,223.75,222.77902221679688,3.434391276307175e7
2025-03-26,222.5400680439697,224.04352508950674,219.51326687455483,221.52999877929688,220.56866455078125,3.431653361244067e7
2025-03-27,220.42928473771144,224.0136687326393,219.60288467242046,223.85000610351562,222.8786163330078,3.6933828330236584e7
2025-03-28,220.7080664246457,222.8387793372666,216.73537546649092,217.89999389648438,216.9544219970703,3.964580812166752e7
2025-03-31,216.0682695484103,224.6409066608951,215.29165561007284,222.1300048828125,221.1660614013672,6.501593065234636e7
2025-04-01,218.85614379144315,222.70934527111467,217.95008904171658,223.19000244140625,222.2214813232422,3.625468902937585e7
2025-04-02,220.3595869543347,224.21278818927524,220.06088576879955,223.88999938964844,222.91842651367188,3.5750085990340665e7
2025-04-03,204.64803566499702,206.58958563447752,200.37665915579902,203.19000244140625,202.30824279785156,1.029702047862538e8
2025-04-04,193.0486144227304,199.01262630823254,186.52703508606032,188.3800048828125,187.56253051757812,1.2536451009456593e8
2025-04-07,176.43103817745248,193.30748067285785,173.86223225537526,181.4600067138672,180.6725616455078,1.5976995704894894e8
2025-04-08,185.88979780340043,189.51400113284038,168.4757067407598,172.4199981689453,171.67176818847656,1.20335020807999e8
2025-04-09,171.20381523449285,199.7394480269994,171.14407803694525,198.85000610351562,197.98709106445312,1.835957089496229e8
2025-04-10,188.24952597387417,193.9347385570105,182.205859833413,190.4199981689453,189.59365844726562,1.2135109396992555e8
2025-04-11,185.29243322025624,198.67409816298056,185.25259829067514,198.14999389648438,197.29013061523438,8.705647571441399e7
2025-04-14,210.52246440005902,212.01595519155484,200.28707539108044,202.52000427246094,201.64117431640625,1.0091308189426275e8
2025-04-15,200.98401841430368,202.62685207462172,198.93296032454862,202.13999938964844,201.26280212402344,5.1121090418410435e7
2025-04-16,197.49920369317184,199.8290454554037,191.53519224238798,194.27000427246094,193.4269561767578,5.9473187126348376e7
2025-04-17,196.34426016251078,197.96719174329118,193.5763250102755,196.97999572753906,196.12521362304688,5.193833461765996e7
2025-04-21,192.43131586910098,192.9590147372882,188.98632373298676,193.16000366210938,192.32179260253906,4.653966256104187e7
2025-04-22,195.26894368988752,200.715208155226,195.1196006832811,199.74000549316406,198.8732452392578,5.274651196228985e7
2025-04-23,205.10606155750318,207.09738254349836,201.9199510184256,204.60000610351562,203.71214294433594,5.269951336596795e7
2025-04-24,204.00088023313933,207.92378505310097,202.0593452871763,208.3699951171875,207.4657745361328,4.7105694145449206e7
2025-04-25,205.47445049920006,208.8397878176709,205.30519003897632,209.27999877929688,208.371826171875,3.805643395424726e7
2025-04-28,209.088696522261,210.5821872117057,206.55972563953335,210.13999938964844,209.22808837890625,3.8574972753483854e7
2025-04-29,207.78438836336602,211.31898611202763,207.46576971677675,211.2100067138672,210.29345703125,3.666778595701633e7
