date,open,high,low,close,adj_close,volume
2025-01-02,58.16256354836857,58.39521542962757,57.46461160246776,59.5,57.67787551879883,5.97029021063412e6
2025-01-03,58.0462396190349,58.28858363449761,57.69726364510839,59.86000061035156,58.026851654052734,6.820336095970288e6
2025-01-06,57.765116858516464,57.86205298082704,56.340132933719644,58.220001220703125,56.43707275390625,9.051451598818086e6
2025-01-07,56.03963233045053,57.29982049070194,56.03963233045053,58.290000915527344,56.50493240356445,1.089268509967099e7
2025-01-08,56.41768840873832,56.59217639839058,55.9039165734839,58.290000915527344,56.50493240356445,8.077326159850538e6
2025-01-10,55.758508956114916,56.43707290776695,54.48862504227863,56.25,54.527400970458984,1.1310679369303385e7
2025-01-13,54.575871914049685,54.944235855465294,54.255979734357474,56.16999816894531,54.449851989746094,1.6646125847389828e7
2025-01-14,54.39169528132091,55.36107141195111,54.26567534893357,57.099998474121094,55.351375579833984,9.997757660867658e6
2025-01-15,55.57433607797276,56.03963618307524,54.82791600378446,56.63999938964844,54.90546417236328,8.568800419872632e6
2025-01-16,54.566179909786015,56.30136396391176,54.29475209542127,58.0,56.223812103271484,1.0249019320783943e7
2025-01-17,56.63094481846719,56.950840677251826,56.04932069070099,57.86000061035156,56.088096618652344,1.227540230917745e7
2025-01-21,55.70034751358858,56.40799159356059,55.496779428502705,57.599998474121094,55.8360595703125,1.099941321392624e7
2025-01-22,55.3901438133592,55.99115589540427,54.411075684578115,56.310001373291016,54.58556365966797,1.4158899671133947e7
2025-01-23,54.80852392053364,55.254436025530076,54.3916919143355,56.959999084472656,55.215660095214844,8.668451636335045e6
2025-01-24,55.118723276580006,55.8554474539559,55.07025521323147,57.41999816894531,55.66157150268555,7.1572911901483815e6
2025-01-27,56.64064110936182,57.46460924670126,55.9523850230782,58.33000183105469,56.543704986572266,1.1288674558716776e7
2025-01-28,56.475846732852624,56.7957426025598,54.8763784779452,56.90999984741211,55.16719055175781,1.0439210624578755e7
2025-01-29,55.1477993383225,55.82636326916131,55.1477993383225,57.130001068115234,55.38045120239258,8.889759431146052e6
2025-01-30,55.73912192473911,56.66972202938362,55.48708578310143,58.40999984741211,56.621253967285156,8.747843201273577e6
2025-01-31,55.33198314210239,56.66971934239675,55.33198314210239,57.9900016784668,56.214115142822266,9.811635995190285e6
2025-02-03,56.21412208883999,56.21412208883999,55.1090302203127,57.40999984741211,55.65188217163086,7.881415502714441e6
2025-02-04,54.94423821385368,55.283518373223025,54.16873806538346,56.119998931884766,54.40138626098633,1.2154231543115087e7
2025-02-05,52.58864863536396,55.79728456536532,52.297836571425634,57.43000030517578,55.6712646484375,2.4873025209310174e7
2025-02-06,56.281977052795696,56.80543733041594,55.467700990204264,57.83000183105469,56.05902099609375,1.3589780327904321e7
2025-02-07,56.27227846924156,57.009006331588814,55.91361036929352,58.45000076293945,56.660030364990234,1.5483649635600151e7
2025-02-10,56.79574324026918,56.83451916997988,55.74881532533738,58.529998779296875,56.737579345703125,9.22060810240934e6
2025-02-11,56.63094573585855,58.6472496474797,56.40798969334054,60.45000076293945,58.59878158569336,1.1803025569962777e7
2025-02-12,58.0753182666363,58.81204242817136,57.72634230142849,60.599998474121094,58.74418640136719,1.0594504590490978e7
2025-02-13,58.705416543507205,59.32581664101236,58.54062068755199,61.15999984741211,59.28704071044922,8.78148094231256e6
2025-02-14,59.34520276454438,60.28549501532325,58.782962882456516,60.81999969482422,58.95745086669922,9.733407947679063e6
2025-02-18,58.676331090651956,59.558463147747894,57.98807498302378,61.18000030517578,59.306427001953125,1.043077710503262e7
2025-02-19,59.335506774612185,60.07223463897286,59.18040675546406,61.93000030517578,60.0334587097168,7.439379513184759e6
2025-02-20,59.82988939924952,60.69263346916059,59.73294957810014,62.16999816894531,60.26610565185547,9.241546327066766e6
