date,open,high,low,close,adj_close,volume
2025-01-02,334.1286985053966,336.7217858705215,325.6838293135402,330.6600036621094,328.5153503417969,4.775921257902697e6
2025-01-03,329.94598466935423,331.2772897070929,327.13432324755786,332.8999938964844,330.74078369140625,4.0745993600017307e6
2025-01-06,331.85352346699364,334.41680647409135,325.1572490493602,330.5299987792969,328.38616943359375,5.747776338125128e6
2025-01-07,328.3563902455701,329.3499042856474,320.81562231973993,324.92999267578125,322.822509765625,4.612985039483227e6
2025-01-08,325.6142722519488,326.6673946780022,321.01429753003026,326.8999938964844,324.77972412109375,3.7636297763441433e6
2025-01-10,320.6764933873943,320.6764933873943,313.9702740855954,317.8500061035156,315.7884216308594,6.497581367965176e6
2025-01-13,312.5595100124572,318.4709001121339,311.7646806218206,319.07000732421875,317.0005187988281,4.553274655423104e6
2025-01-14,322.892050272035,327.80001186174127,319.4147512691054,323.5400085449219,321.4415283203125,5.896704297767946e6
2025-01-15,327.7403774267142,329.3796693340175,318.6993946729668,321.1600036621094,319.0769348144531,6.003506576216833e6
2025-01-16,320.84540247859553,325.59439802140986,317.4773755817616,320.0,317.9244689941406,5.014960444192886e6
2025-01-17,326.58794772465546,327.43244075175977,320.9745992686521,324.55999755859375,322.4549255371094,6.262715318910386e6
2025-01-21,327.26348603632,327.38270285807397,320.35858233952825,326.8399963378906,324.7200927734375,6.355707382099896e6
2025-01-22,329.1014762702018,333.0556724699669,325.157224911627,332.6199951171875,330.46258544921875,7.212215386228757e6
2025-01-23,330.1744451109626,333.2841483190193,327.462171699435,334.6600036621094,332.4893493652344,4.327646988142317e6
2025-01-24,334.11873383442384,336.453497712837,329.63800647589477,333.8800048828125,331.7144470214844,3.2777019173480747e6
2025-01-27,330.2042777882614,350.85944104302604,328.356356417523,347.1000061035156,344.84869384765625,1.5559521130077064e7
2025-01-28,352.46893116995307,364.7090302427245,348.1868884947929,359.95001220703125,357.6153564453125,1.2020823268510083e7
2025-01-29,356.4330542945003,357.843827044907,349.2201337221652,354.0,351.70391845703125,6.226053519194005e6
2025-01-30,338.6888877567181,345.7428426212518,337.7947312966253,343.57000732421875,341.3415832519531,7.541863484546507e6
2025-01-31,345.7428599854995,347.2331309337128,337.8941057221704,341.70001220703125,339.4837341308594,5.740523692517862e6
2025-02-03,333.7908930522389,339.2452750998084,329.11145069623467,339.239990234375,337.0396728515625,4.51989250032565e6
2025-02-04,343.3782791590096,344.6797799799326,336.47337554687374,344.1400146484375,341.90789794921875,4.933392763962762e6
2025-02-05,343.4776519354873,345.7826116294076,336.67207515696214,347.92999267578125,345.6733093261719,4.491676671634081e6
