date,open,high,low,close,adj_close,volume
2025-01-02,117.19923034563912,117.97193303864967,116.14643047967724,121.0999984741211,116.96742248535156,3.2730595340248e6
2025-01-03,117.36344251019025,118.14579869676024,117.00606620113211,122.0199966430664,117.85603332519531,3.23577698823984e6
2025-01-06,117.94297121597593,118.72532743791288,116.5521091600526,121.0,116.870849609375,4.823192352143595e6
2025-01-07,116.86117473619595,117.74978503668675,116.5231200741261,121.4000015258789,117.25718688964844,4.764949528928885e6
2025-01-08,116.73562516997221,117.7594500670117,115.90497227911538,121.86000061035156,117.70149993896484,3.447593400442287e6
2025-01-10,115.90497089400678,116.52313014925164,112.98803236888503,117.1500015258789,113.15222930908203,5.182111248671043e6
2025-01-13,113.00734777849301,113.75106810696546,112.15738063609025,117.55000305175781,113.53858184814453,5.483174466698521e6
2025-01-14,113.76072152495486,114.52376342584816,113.27778417267093,118.47000122070312,114.42717742919922,3.8080576102291974e6
2025-01-15,114.0215188054708,115.12261544659528,113.18120510817491,118.51000213623047,114.4658203125,5.190804155216298e6
2025-01-16,114.78454579555667,116.34926546220214,114.27263338367119,119.80000305175781,115.7117919921875,7.587718467248309e6
2025-01-17,115.76007686631603,118.02022740923744,115.22885022318309,121.58999633789062,117.4406967163086,4.993668594295153e6
2025-01-21,118.2037445464352,119.95198278528444,118.04920842448787,123.80999755859375,119.58494567871094,5.7600904297898505e6
2025-01-22,119.24689075794916,119.33382331370991,118.19409086166797,122.88999938964844,118.69634246826172,4.2799840130007025e6
2025-01-23,118.72532571055335,121.19797014833533,118.57078957827682,125.43000030517578,121.14967346191406,5.191866684010163e6
2025-01-24,121.30421551627875,123.06211476889325,121.24626538497589,127.27999877929688,122.9365463256836,3.5599248360950924e6
2025-01-27,124.76203000955991,126.87729790604445,124.24046416977917,130.42999267578125,125.9790267944336,7.384111890870932e6
2025-01-28,124.9745384456306,126.61652264045041,123.94106008448718,128.9600067138672,124.55921936035156,4.927989764365547e6
2025-01-29,124.8972503650934,126.26879061854034,124.7716819426676,129.58999633789062,125.16769409179688,3.737355422527997e6
2025-01-30,125.62166587051568,126.03699967100977,124.6461376923636,130.32000732421875,125.872802734375,3.1310761332975514e6
2025-01-31,125.55406389934264,126.68413558684324,125.09043340851234,130.1999969482422,125.75688934326172,5.149271460684533e6
2025-02-03,124.51091631032178,126.56821948528544,123.87343544457914,130.38999938964844,125.9404067993164,5.440965587106458e6
