ticker,date,theta_base,beta1,beta2,beta3,beta4,beta5,gamma,kappa,sigma_v
PEP,2025-01-02,0.06724335644136226,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-03,0.05503454014504818,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-06,0.06724335644136226,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-07,0.05503454014504818,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-08,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-10,0.06724335644136226,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-13,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-14,0.05483826894579283,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-15,0.05509921871433127,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-16,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-17,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-21,0.05509921871433127,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-22,0.05503454014504818,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-23,0.05483826894579283,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-24,0.05483826894579283,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-27,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-28,0.06724335644136226,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-29,0.05509921871433127,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-30,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-01-31,0.06724335644136226,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-03,0.05503454014504818,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-04,0.06724335644136226,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-05,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-06,0.05503454014504818,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-07,0.05503454014504818,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-10,0.05503454014504818,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-11,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-12,0.06724335644136226,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-13,0.05483826894579283,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-14,0.06724335644136226,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-18,0.05483826894579283,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-19,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-20,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-21,0.06509910282527631,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
PEP,2025-02-24,0.05483826894579283,0.05204103797741102,-11.18891620923257,1.8666230457104522,0.11540213291355957,-0.049131058101168495,0.0,5.0,0.3
