Run,FinalNAV_M,Return,Sharpe,Sortino,MaxDD,Premium_M,Assigns,Trades
1,549.03,-8.5,-3.633,-5.241,9.02,0.54,25,658
2,554.78,-7.54,-2.47,-3.097,9.3,4.82,28,612
3,557.33,-7.11,-2.284,-2.634,7.74,4.88,21,603
4,594.87,-0.85,-0.384,-0.611,1.98,7.89,27,675
5,555.49,-7.42,-2.381,-3.779,7.78,3.25,31,596
6,576.11,-3.98,-2.11,-3.159,4.5,-1.59,26,713
7,571.14,-4.81,-1.578,-1.703,6.58,5.72,25,656
8,573.04,-4.49,-1.917,-2.952,6.22,5.42,23,669
9,543.39,-9.43,-3.411,-5.232,9.81,2.87,25,658
10,550.88,-8.19,-2.643,-4.07,9.14,4.3,25,634
11,559.74,-6.71,-2.182,-2.237,7.73,6.88,27,725
12,569.19,-5.14,-2.083,-2.816,5.7,0.7,30,625
13,543.84,-9.36,-3.215,-4.06,9.78,1.88,31,633
14,549.9,-8.35,-3.11,-5.126,9.17,8.53,29,670
15,545.54,-9.08,-3.049,-4.369,9.86,2.03,23,708
16,542.25,-9.63,-3.265,-3.662,10.43,3.76,28,657
17,558.11,-6.98,-2.347,-2.695,7.66,6.37,32,599
18,564.63,-5.9,-2.053,-2.946,7.79,-1.39,27,641
19,550.56,-8.24,-3.261,-5.022,9.31,3.36,26,668
20,539.49,-10.09,-3.232,-4.139,11.25,5.57,25,608
