"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
277,"NCMI",330.66,5.63%,-1.98%,-2.67%,-2.65%,2.22,2.22,0.06,0.06,30.37%,-5.71%,-4.32%,2/26/2026 4:30:00 PM,3.55,1.43%,418071
278,"BGMS",4.65,3789.47%,-102.39%,-226.28%,-98.18%,6.43,5.07,0.00,0.00,18.52%,-11322.22%,-8607.41%,11/13/2025 4:30:00 PM,0.95,-1.05%,18833
279,"HOFT",144.63,6.00%,-7.52%,-11.27%,-15.42%,2.67,1.35,0.15,0.18,22.47%,-3.06%,-8.75%,12/11/2025 8:30:00 AM,13.42,-1.76%,27320
280,"XRAY",2544.81,5.02%,-10.70%,-36.45%,-17.35%,1.51,1.03,1.57,1.84,50.00%,6.88%,-16.25%,2/26/2026 4:30:00 PM,12.74,-4.43%,5043373
281,"AUGO",6732.89,3.03%,-5.90%,-32.47%,-13.59%,0.97,0.75,1.20,1.64,55.13%,51.18%,-8.61%,2/26/2026 4:30:00 PM,80.60,-1.41%,455742
282,"NRC",330.57,3.56%,8.09%,49.79%,12.56%,0.55,0.55,5.42,5.70,56.33%,16.45%,8.20%,2/3/2026 8:30:00 AM,14.59,3.92%,150758
283,"STEP",5440.92,3.25%,-11.40%,-750.11%,,0.18,0.18,,,73.47%,-47.77%,-30.59%,2/5/2026 4:30:00 PM,45.66,-4.12%,897883
284,"CBRL",658.02,3.40%,-0.19%,-0.90%,-0.28%,0.49,0.18,2.35,2.70,5.94%,0.22%,-0.12%,3/4/2026 4:30:00 PM,29.44,-5.25%,1596369
285,"BLMN",512.22,7.49%,0.27%,3.74%,0.38%,0.29,0.22,5.52,6.06,8.82%,2.93%,0.21%,2/25/2026 8:30:00 AM,6.01,-5.80%,2836290
286,"USEA",18.35,7.00%,-2.63%,-7.09%,-4.23%,0.62,0.61,0.75,1.16,16.67%,3.36%,-10.12%,11/11/2025 8:30:00 AM,2.00,-3.85%,121885
287,"MKZR",7.18,13.70%,-9.27%,-36.62%,-11.94%,1.10,1.10,2.80,2.81,-28.30%,-49.67%,-130.33%,,3.65,1.77%,16245
288,"TOUR",84.56,4.74%,1.77%,2.94%,2.94%,2.04,1.80,0.00,0.00,58.14%,1.80%,5.39%,3/5/2026 8:30:00 AM,0.76,2.65%,152759
289,"AFCG",61.65,11.45%,-6.10%,-10.97%,-7.71%,15.03,15.03,0.55,0.55,90.65%,-43.59%,-67.18%,3/4/2026 8:30:00 AM,2.62,1.95%,228895
290,"XRX",223.76,43.10%,-11.32%,-105.65%,-22.31%,1.12,0.80,6.10,6.45,25.52%,-0.95%,-14.85%,1/29/2026 8:30:00 AM,1.74,-7.45%,3306516
291,"OFLX",301.92,4.55%,15.57%,19.37%,16.78%,5.61,4.62,0.05,0.06,56.74%,19.04%,15.08%,10/29/2025 4:30:00 PM,29.91,-2.61%,46598
292,"DOYU",149.69,101.82%,-4.41%,-6.03%,-9.55%,2.26,2.26,0.00,0.00,10.93%,-3.20%,-4.81%,11/20/2025 8:30:00 AM,4.96,-1.98%,24189
293,"BRLT",135.15,18.52%,-0.87%,-15.11%,-8.37%,1.61,1.02,2.53,3.09,55.92%,14.66%,-0.83%,3/5/2026 8:30:00 AM,1.35,-7.53%,303833
294,"HRZN",194.54,19.81%,-0.33%,-0.81%,-0.38%,1.35,1.35,1.19,1.49,67.58%,80.58%,-6.51%,02/25/2026,4.20,-9.29%,3236282
295,"ATNI",368.92,4.55%,-0.88%,-3.19%,-1.76%,1.26,1.21,1.48,1.56,37.32%,5.99%,-2.67%,3/4/2026 4:30:00 PM,24.18,-3.51%,123004
296,"FTEL",2.41,46.78%,-5.97%,-7.50%,-7.42%,4.44,3.03,0.00,0.03,10.25%,-31.56%,-13.13%,,1.71,21.28%,47153
297,"MRCC",91.87,21.93%,-1.19%,-2.86%,-1.43%,8.05,8.05,1.15,1.15,60.84%,51.72%,-24.15%,3/5/2026 4:30:00 PM,4.24,-5.78%,306346
298,"MARPS",10.65,6.20%,77.71%,77.71%,72.89%,,,0.00,0.00,,68.95%,68.95%,,5.32,-5.75%,288566
299,"ICON",,26.52%,,,,,,,,,,,,1.32,-7.04%,199530
