"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
86,"SBFG",128.30,3.44%,0.95%,10.38%,6.76%,0.10,,0.46,0.53,,18.98%,15.34%,1/29/2026 4:30:00 PM,20.37,-1.26%,13241
87,"NBTB",2173.27,3.64%,1.14%,9.89%,8.06%,0.10,,0.11,0.19,,26.37%,18.67%,1/26/2026 4:30:00 PM,41.63,-1.89%,219690
88,"BCML",316.36,4.13%,0.91%,7.22%,6.63%,0.21,,0.07,0.07,,23.05%,16.92%,1/22/2026 4:30:00 PM,29.03,-0.58%,26834
89,"IBCP",708.28,3.23%,1.26%,14.31%,11.06%,0.14,,0.23,0.23,,25.77%,21.73%,1/22/2026 8:30:00 AM,34.23,-1.52%,145514
90,"WSBC",3237.09,4.52%,0.96%,6.54%,4.57%,0.05,,0.10,0.41,,24.70%,14.09%,1/27/2026 4:30:00 PM,33.68,-2.77%,548894
91,"TFSL",3899.93,8.13%,0.52%,4.68%,1.65%,0.22,,1.84,2.59,,14.27%,11.10%,1/29/2026 4:30:00 PM,13.90,-0.07%,1021360
92,"KELYA",336.24,3.25%,-10.44%,-23.06%,-22.69%,1.54,1.54,0.15,0.16,18.77%,1.31%,-6.00%,2/12/2026 8:30:00 AM,9.23,-1.39%,304377
93,"HOPE",1428.19,5.03%,0.33%,2.65%,2.39%,0.04,,0.07,0.20,,10.93%,6.06%,1/27/2026 8:30:00 AM,11.14,-1.50%,860789
94,"ORRF",686.95,3.41%,1.47%,14.59%,8.95%,0.19,,0.53,0.57,,29.59%,22.71%,1/27/2026 4:30:00 PM,35.23,-1.09%,180828
95,"TRST",807.52,3.42%,0.96%,8.97%,8.46%,0.53,,0.05,0.23,,23.23%,22.02%,1/21/2026 4:30:00 PM,43.83,-0.52%,153567
96,"LKFN",1437.16,3.63%,1.51%,14.29%,13.31%,0.03,,0.02,0.24,,29.78%,24.51%,1/26/2026 8:30:00 AM,56.88,-1.25%,211298
97,"ACNB",493.28,3.23%,1.32%,10.25%,5.45%,0.04,,0.62,0.77,,29.81%,19.32%,1/22/2026 8:30:00 AM,47.50,-2.92%,69478
98,"PFIS",526.31,4.70%,1.14%,11.97%,7.94%,0.09,,0.43,0.50,,25.89%,21.12%,1/30/2026 4:30:00 PM,52.66,-1.59%,64191
99,"GABC",1503.98,3.09%,1.53%,12.00%,8.63%,0.08,,0.12,0.16,,28.76%,23.12%,1/26/2026 4:30:00 PM,40.11,-1.72%,155201
100,"HST",13226.43,4.73%,5.86%,11.62%,6.29%,0.47,0.47,0.85,0.86,15.62%,13.59%,12.51%,2/18/2026 4:30:00 PM,19.23,-3.66%,10841391
101,"LNKB",317.70,3.54%,1.13%,11.42%,8.72%,0.04,,0.25,0.63,,18.37%,19.10%,1/26/2026 4:30:00 PM,8.48,-1.17%,111750
102,"VNOM",15767.91,6.77%,-0.78%,-2.25%,-1.04%,3.72,3.72,0.49,0.49,47.96%,44.91%,-5.12%,2/23/2026 4:30:00 PM,44.10,1.03%,4834633
103,"AROW",550.00,3.59%,1.00%,10.56%,9.53%,0.30,,0.07,0.07,,22.83%,18.12%,1/29/2026 8:30:00 AM,33.45,1.39%,123214
104,"ADAM",722.89,11.51%,1.36%,10.56%,1.78%,0.06,0.06,2.98,7.71,82.48%,88.67%,14.93%,2/18/2026 4:30:00 PM,7.99,-2.44%,565664
105,"WAFD",2351.76,3.53%,0.88%,8.03%,4.14%,0.14,,0.82,0.82,,22.40%,16.41%,1/15/2026 4:30:00 PM,31.00,-1.84%,553386
106,"GBDC",3190.33,11.43%,3.69%,8.34%,4.04%,0.34,0.34,1.09,1.25,78.58%,70.93%,40.79%,2/4/2026 4:30:00 PM,12.12,-2.18%,1797840
107,"FRST",320.13,3.08%,1.59%,15.86%,10.59%,0.07,,0.37,0.47,,23.22%,19.64%,1/29/2026 4:30:00 PM,12.99,-1.14%,122516
108,"NWFL",318.08,4.42%,1.17%,12.18%,9.20%,0.12,,0.25,0.31,,25.75%,20.41%,1/22/2026 8:30:00 AM,29.09,0.10%,32917
109,"PFBC",1188.34,3.67%,1.84%,17.21%,11.45%,0.14,,0.48,0.49,,38.35%,26.62%,1/22/2026 8:30:00 AM,88.73,-1.26%,126554
110,"CVBF",2567.99,4.27%,1.35%,9.28%,7.34%,0.05,,0.23,0.45,,43.68%,32.06%,1/21/2026 4:30:00 PM,18.91,-1.72%,1213510
111,"LCNB",238.77,5.23%,1.01%,8.74%,5.98%,0.07,,0.41,0.41,,22.72%,18.49%,1/29/2026 4:30:00 PM,16.83,-0.47%,33828
112,"BUSE",2165.17,4.14%,0.90%,7.02%,4.50%,0.06,,0.13,0.20,,17.97%,12.07%,1/27/2026 4:30:00 PM,25.11,-0.63%,884518
113,"JJSF",1640.16,3.66%,4.61%,6.60%,5.83%,2.52,1.47,0.15,0.18,29.55%,6.19%,3.92%,2/3/2026 8:30:00 AM,86.27,0.75%,272731
114,"SLRC",790.50,11.32%,3.69%,9.31%,4.50%,0.86,0.86,1.06,1.15,73.34%,72.88%,42.04%,2/24/2026 4:30:00 PM,14.49,-0.62%,295728
115,"HFWA",1042.68,3.87%,0.96%,7.57%,7.02%,0.05,,0.04,0.07,,23.40%,20.10%,1/22/2026 8:30:00 AM,25.35,-1.59%,220585
116,"SIRI",7448.70,5.07%,2.94%,7.11%,3.98%,0.30,0.30,0.75,0.84,40.65%,22.28%,9.41%,2/5/2026 8:30:00 AM,22.25,-1.68%,4374055
117,"ARCC",13455.74,10.25%,4.37%,9.39%,4.29%,1.71,1.71,1.12,1.12,75.68%,68.97%,41.30%,2/4/2026 8:30:00 AM,18.74,-1.37%,10532999
118,"CMCSA",114807.26,3.87%,7.42%,21.92%,10.24%,0.88,0.88,1.02,1.08,58.64%,16.90%,16.17%,1/29/2026 8:30:00 AM,31.91,0.98%,23116254
119,"CGBD",778.86,14.20%,2.97%,6.74%,2.56%,3.72,3.72,1.31,1.31,70.90%,86.18%,34.96%,2/24/2026 4:30:00 PM,11.02,-2.48%,619782
120,"PFG",20005.21,3.56%,0.38%,10.32%,7.62%,0.40,,0.31,0.35,,9.06%,7.58%,2/9/2026 4:30:00 PM,92.26,-1.33%,1530137
121,"HBNC",834.33,4.13%,-2.11%,-20.73%,-14.98%,0.15,,0.46,0.59,,-178.03%,-133.39%,1/21/2026 4:30:00 PM,16.29,-2.51%,463256
122,"FRME",2380.40,3.92%,1.21%,9.47%,6.87%,0.05,,0.32,0.41,,24.67%,21.34%,1/26/2026 4:30:00 PM,37.55,-2.59%,333410
123,"HCKT",360.65,3.38%,6.39%,14.09%,8.92%,1.72,1.72,1.13,1.15,36.64%,8.72%,4.23%,2/17/2026 4:30:00 PM,14.21,-0.84%,241131
124,"HBAN",33105.92,3.92%,1.03%,10.03%,5.01%,0.10,,0.71,0.78,,21.65%,16.91%,1/22/2026 8:30:00 AM,16.31,-2.22%,27421482
125,"DMLP",1297.11,10.39%,16.34%,16.40%,17.79%,15.54,15.54,0.00,0.00,46.24%,37.53%,36.15%,,26.88,0.07%,262479
126,"WSBF",320.56,3.44%,1.18%,7.67%,4.89%,0.06,,0.54,1.18,,16.59%,13.10%,,17.46,-0.63%,73304
127,"BSET",125.40,5.66%,1.70%,3.67%,2.60%,1.89,1.09,0.42,0.54,56.28%,2.48%,1.82%,2/4/2026 4:30:00 PM,14.49,-1.02%,34746
128,"HBT",970.20,3.33%,1.52%,13.28%,11.31%,0.05,,0.11,0.11,,35.70%,26.21%,1/26/2026 8:30:00 AM,26.27,-2.38%,37080
129,"FFIC",521.47,5.72%,0.21%,2.58%,1.47%,0.04,,0.76,0.76,,10.63%,3.74%,1/27/2026 4:30:00 PM,15.39,-1.72%,190178
130,"CAC",777.06,3.77%,1.02%,10.61%,8.58%,0.06,,0.09,0.92,,23.58%,17.47%,1/27/2026 8:30:00 AM,45.92,-0.41%,125667
131,"UBSI",5596.29,3.83%,1.45%,8.84%,7.92%,0.10,,0.07,0.15,,32.03%,25.45%,1/22/2026 8:30:00 AM,40.14,-1.62%,1285587
132,"OCFC",1036.11,4.45%,0.51%,4.22%,3.15%,0.03,,0.28,1.04,,15.86%,9.77%,1/22/2026 4:30:00 PM,18.05,-1.80%,772711
133,"PSEC",1317.20,18.68%,-3.40%,-4.85%,-5.56%,0.57,0.57,0.40,0.40,-5.75%,-64.23%,-227.79%,2/9/2026 4:30:00 PM,2.73,0.00%,2678337
134,"CMTV",170.94,3.21%,1.34%,16.03%,10.38%,0.18,,0.43,0.79,,28.21%,25.03%,,30.50,0.99%,4830
135,"MLKN",1345.21,3.82%,-0.64%,-1.95%,-0.84%,1.67,0.95,1.32,1.40,38.67%,2.44%,-0.68%,3/25/2026 4:30:00 PM,19.71,-1.30%,550639
136,"RMR",548.51,10.52%,3.32%,9.75%,5.94%,1.82,1.82,0.66,0.68,18.66%,10.71%,3.46%,2/4/2026 4:30:00 PM,17.11,0.47%,181976
137,"FITB",42656.03,3.43%,1.18%,12.20%,7.06%,0.17,,0.55,0.70,,23.92%,17.77%,1/20/2026 8:30:00 AM,47.30,-2.85%,8553794
138,"FCBC",724.72,3.23%,1.50%,9.50%,9.55%,0.58,,0.00,0.00,,35.62%,26.32%,1/27/2026 4:30:00 PM,39.57,-1.10%,75469
139,"HTBK",753.49,4.25%,0.84%,6.84%,6.39%,0.29,,0.06,0.06,,25.16%,17.78%,1/22/2026 4:30:00 PM,12.24,-1.53%,523037
140,"EFSI",185.60,3.61%,0.44%,5.34%,3.18%,0.50,,0.37,0.37,,9.39%,7.79%,1/26/2026 4:30:00 PM,34.52,-0.07%,15473
141,"CTBI",1083.96,3.60%,1.52%,12.15%,10.49%,0.08,,0.09,0.46,,31.16%,24.04%,1/21/2026 8:30:00 AM,59.72,-0.76%,88750
142,"KRNY",481.65,5.91%,0.42%,4.31%,3.38%,0.04,,0.26,1.45,,11.56%,9.41%,1/22/2026 8:30:00 AM,7.44,-2.23%,310708
143,"MBWM",869.26,3.12%,1.38%,13.56%,7.76%,0.17,,0.58,1.01,,28.32%,23.87%,1/20/2026 8:30:00 AM,50.33,-3.09%,119559
144,"SPOK",259.95,9.95%,7.35%,10.55%,10.54%,1.18,1.18,0.03,0.05,63.91%,14.44%,11.37%,2/25/2026 4:30:00 PM,12.54,1.05%,162606
145,"WTBA",405.39,4.18%,0.80%,13.19%,8.78%,0.25,,0.39,1.43,,20.87%,16.40%,1/29/2026 8:30:00 AM,23.93,-2.13%,53118
146,"BHRB",953.41,3.48%,1.49%,14.81%,12.16%,0.08,,0.12,0.65,,29.51%,23.70%,1/22/2026 4:30:00 PM,63.44,-1.06%,72995
147,"OTEX",6405.34,4.27%,3.20%,10.55%,4.14%,0.92,0.92,1.61,1.63,63.91%,20.80%,8.42%,2/5/2026 4:30:00 PM,25.56,-0.97%,1939069
148,"EWBC",14632.04,3.01%,1.69%,15.94%,14.61%,0.07,,0.02,0.36,,37.48%,28.79%,1/22/2026 4:30:00 PM,106.32,-3.58%,1156499
149,"ESCA",205.44,4.00%,6.02%,8.01%,7.39%,4.28,2.04,0.07,0.11,25.96%,7.80%,5.70%,2/27/2026 8:30:00 AM,15.00,3.59%,53713
150,"FHB",3003.44,4.25%,1.15%,10.26%,9.79%,0.16,,0.02,0.02,,30.19%,23.54%,1/30/2026 8:30:00 AM,24.48,-1.88%,1178720
151,"FNLC",311.11,5.30%,1.09%,12.84%,7.30%,0.03,,0.66,0.66,,24.09%,19.24%,10/22/2025 4:30:00 PM,27.73,0.22%,32143
152,"FFBC",2849.97,3.71%,1.29%,9.82%,7.67%,0.08,,0.20,0.45,,25.51%,20.30%,1/28/2026 4:30:00 PM,27.25,-1.80%,650906
153,"LINE",8969.67,5.49%,-0.52%,-1.16%,-0.61%,0.80,0.71,0.96,0.98,15.42%,4.71%,-1.83%,2/25/2026 8:30:00 AM,39.50,-2.40%,740403
154,"ALRS",606.58,3.62%,0.33%,3.29%,2.66%,0.03,,0.16,0.72,,6.81%,5.26%,1/28/2026 4:30:00 PM,23.88,-1.32%,146037
155,"HAFC",770.03,4.35%,0.97%,9.88%,7.88%,0.09,,0.20,0.40,,24.26%,16.96%,1/27/2026 4:30:00 PM,25.76,-1.23%,259454
156,"CSWC",1334.39,11.52%,5.19%,11.11%,5.04%,1.35,1.35,1.02,1.08,96.87%,82.58%,46.10%,2/2/2026 4:30:00 PM,22.18,-1.25%,421125
157,"HWC",5133.33,3.01%,1.37%,11.27%,10.16%,0.08,,0.07,0.30,,30.22%,24.13%,1/20/2026 4:30:00 PM,62.86,-3.17%,766814
158,"NVEC",323.99,5.97%,22.74%,23.36%,23.98%,34.84,26.69,0.01,0.02,79.15%,59.49%,54.59%,1/21/2026 4:30:00 PM,66.98,-0.84%,35658
159,"HTHT",15396.46,3.30%,6.17%,32.28%,9.84%,0.85,0.84,2.34,3.13,36.95%,22.46%,15.94%,11/17/2025 8:30:00 AM,50.51,-2.11%,1063375
160,"LIEN",229.12,13.55%,15.85%,17.13%,10.51%,5.64,5.64,0.04,0.04,78.05%,64.19%,62.70%,3/18/2026 4:30:00 PM,10.04,0.40%,15712
161,"MNDO",25.46,17.60%,9.77%,12.73%,12.67%,3.53,3.53,0.03,0.04,51.10%,13.15%,14.63%,,1.25,1.63%,20609
162,"OZK",5114.64,4.17%,1.81%,12.09%,10.38%,0.12,,0.10,0.10,,33.30%,24.92%,1/20/2026 4:30:00 PM,45.09,-2.93%,1742709
163,"BCBP",141.79,3.89%,-0.36%,-3.99%,-2.44%,0.20,,0.95,0.95,,-10.99%,-8.68%,1/30/2026 8:30:00 AM,8.23,-1.20%,90687
164,"NXST",7513.76,3.30%,0.81%,4.26%,1.08%,2.07,2.07,3.13,3.21,38.99%,17.45%,1.86%,2/26/2026 8:30:00 AM,247.75,-2.32%,346087
165,"SSSS",223.31,8.44%,25.45%,35.45%,22.57%,20.54,20.54,0.32,0.32,100.00%,195.23%,182.31%,3/10/2026 4:30:00 PM,8.89,-3.79%,281475
166,"NMFC",804.43,13.41%,0.54%,1.30%,0.63%,0.53,0.53,1.23,1.41,83.64%,37.99%,4.45%,2/24/2026 4:30:00 PM,7.98,-1.48%,1480028
167,"LAND",486.07,4.77%,1.06%,1.99%,-0.88%,0.69,0.65,0.77,0.80,33.39%,27.16%,-11.87%,2/24/2026 4:30:00 PM,11.73,-0.68%,495583
168,"ITRN",985.33,4.04%,16.26%,28.78%,26.07%,2.28,2.06,0.02,0.02,49.74%,21.43%,16.15%,3/5/2026 8:30:00 AM,49.53,-1.86%,121247
169,"SWKS",8241.98,5.22%,4.87%,6.49%,6.15%,2.40,1.80,0.11,0.21,41.11%,11.27%,9.73%,2/3/2026 4:30:00 PM,54.81,-2.96%,3693015
170,"MSBI",445.19,6.02%,-1.78%,-19.57%,-16.32%,0.04,,0.45,0.78,,8.78%,-29.53%,1/22/2026 4:30:00 PM,21.21,-3.15%,130448
171,"MFIN",228.83,4.88%,1.47%,11.05%,6.84%,0.09,1.56,0.54,0.77,80.35%,33.56%,12.18%,2/18/2026 4:30:00 PM,9.83,-1.31%,68615
172,"SCVL",530.25,3.10%,5.04%,8.78%,5.82%,4.05,0.97,0.46,0.53,36.50%,6.12%,5.06%,11/20/2025 8:30:00 AM,19.37,-2.52%,381935
173,"INDB",3775.96,3.10%,0.93%,6.25%,5.06%,0.06,,0.14,0.25,,27.02%,17.61%,1/22/2026 4:30:00 PM,77.21,-1.39%,269881
174,"BANR",2048.60,3.35%,1.20%,10.50%,9.54%,0.05,,0.05,0.19,,27.16%,22.21%,1/21/2026 4:30:00 PM,60.08,-0.69%,516047
175,"GCMG",2281.91,4.53%,6.36%,,9.13%,1.93,1.93,17.40,17.79,,26.85%,8.25%,2/10/2026 8:30:00 AM,11.27,-4.09%,625390
176,"RGP",120.94,7.76%,-37.09%,-50.91%,-61.78%,2.64,2.64,0.10,0.13,36.67%,-1.80%,-26.13%,1/7/2026 4:30:00 PM,3.61,-2.43%,432220
177,"DCOM",1403.23,3.22%,0.73%,7.58%,5.38%,0.22,,0.28,0.56,,22.18%,13.94%,1/21/2026 8:30:00 AM,31.96,-1.60%,238422
178,"JOYY",2106.72,6.23%,-1.72%,-2.29%,-2.06%,2.02,2.02,0.00,0.01,36.37%,2.91%,-6.49%,3/10/2026 4:30:00 PM,60.80,0.40%,141010
179,"HTO",2334.14,3.02%,2.06%,7.06%,3.01%,0.70,0.70,1.21,1.28,46.08%,22.23%,12.81%,2/25/2026 4:30:00 PM,58.21,3.02%,605928
180,"WEYS",296.57,3.29%,7.17%,9.51%,9.38%,4.22,2.87,0.03,0.05,43.91%,10.56%,8.36%,3/3/2026 4:30:00 PM,31.06,-0.77%,10221
181,"DRH",1965.55,3.93%,3.28%,6.68%,3.33%,0.87,0.87,0.90,0.90,17.68%,14.61%,8.18%,2/26/2026 4:30:00 PM,9.60,-3.13%,2082325
182,"RBB",364.46,3.05%,0.78%,6.20%,3.93%,0.42,,0.55,0.55,,17.70%,13.42%,1/26/2026 4:30:00 PM,21.38,-1.79%,105225
183,"FISI",619.61,4.11%,1.21%,27.94%,45.70%,0.06,,,,,24.07%,19.63%,1/29/2026 4:30:00 PM,30.78,-1.63%,135870
184,"OXSQ",151.09,22.70%,-6.18%,-12.24%,-6.31%,5.56,12.07,1.04,1.08,81.51%,-39.64%,-79.66%,3/3/2026 8:30:00 AM,1.85,-0.54%,887861
185,"VTRS",16303.72,3.66%,-8.93%,-21.08%,-12.84%,1.30,0.74,0.86,1.00,38.49%,7.99%,-24.59%,2/26/2026 8:30:00 AM,14.16,-2.55%,10816812
186,"COFS",424.88,4.13%,0.79%,7.76%,3.62%,0.10,,0.67,0.67,,22.71%,12.41%,1/30/2026 8:30:00 AM,28.28,-0.60%,117507
187,"CCAP",479.26,12.38%,2.11%,4.77%,2.18%,2.94,2.94,1.24,1.24,78.02%,76.15%,22.09%,2/25/2026 4:30:00 PM,12.98,-2.70%,220371
188,"FIBK",3457.23,5.50%,1.08%,8.95%,8.07%,0.10,,0.09,0.23,,27.76%,21.41%,1/28/2026 4:30:00 PM,34.19,-2.31%,915066
189,"PCB",313.74,3.79%,1.17%,9.88%,8.34%,0.18,,0.14,0.14,,25.07%,17.64%,1/29/2026 4:30:00 PM,22.00,-1.39%,27358
190,"III",216.92,3.97%,4.44%,10.22%,5.73%,2.22,2.22,0.72,0.72,41.22%,7.99%,3.82%,3/5/2026 4:30:00 PM,4.53,-4.83%,335587
191,"FMAO",348.23,3.67%,0.97%,9.32%,5.16%,0.06,,0.72,0.82,,22.49%,17.40%,2/12/2026 4:30:00 PM,25.33,0.72%,54479
192,"LAUR",4520.69,4.50%,13.85%,26.23%,17.68%,0.67,0.67,0.34,0.43,28.33%,25.33%,16.55%,2/19/2026 8:30:00 AM,31.67,-0.78%,1559357
193,"RMBI",142.12,4.41%,0.76%,8.31%,2.91%,0.14,,1.73,1.73,,15.01%,12.73%,,13.60,-0.84%,22447
194,"VLY",6726.22,3.63%,0.94%,7.85%,5.42%,0.09,,0.34,0.44,,21.34%,16.30%,1/29/2026 8:30:00 AM,12.11,-2.89%,7550082
195,"TCBK",1519.12,3.06%,1.25%,9.54%,8.63%,0.04,,0.06,0.06,,30.87%,22.57%,1/22/2026 8:30:00 AM,47.25,-2.05%,194310
196,"NAVI",789.25,7.71%,-0.16%,-3.13%,-0.20%,0.43,0.43,15.41,19.05,92.50%,77.74%,-2.47%,1/28/2026 8:30:00 AM,8.30,-3.04%,858751
197,"PTEN",3404.78,4.25%,-1.53%,-2.80%,-2.09%,1.64,1.46,0.39,0.40,4.76%,-0.52%,-1.94%,2/4/2026 4:30:00 PM,8.97,1.47%,11625834
198,"CIVB",436.09,3.16%,1.09%,9.87%,7.05%,0.06,,0.20,0.52,,21.66%,18.05%,1/29/2026 8:30:00 AM,22.58,-1.18%,62546
199,"COLB",8068.53,5.41%,0.92%,8.47%,6.54%,0.05,,0.07,0.51,,28.99%,17.08%,1/22/2026 4:30:00 PM,27.30,-2.50%,2471203
200,"CRWS",30.60,11.19%,-10.55%,-20.44%,-15.44%,3.43,1.47,0.52,0.68,22.15%,0.81%,-11.10%,2/11/2026 8:30:00 AM,2.86,-1.72%,11111
201,"UPBD",1142.59,7.93%,2.47%,11.06%,2.99%,2.52,0.67,2.52,2.67,32.70%,7.52%,1.56%,2/19/2026 8:30:00 AM,19.66,-4.61%,694137
202,"CALM",4281.24,3.86%,40.93%,48.69%,42.84%,8.02,6.46,0.00,0.00,41.92%,34.40%,27.37%,1/7/2026 8:30:00 AM,89.84,0.55%,790935
203,"FULT",3636.21,3.74%,1.22%,11.71%,9.01%,0.07,,0.21,0.42,,25.72%,20.15%,1/21/2026 4:30:00 PM,20.20,-2.32%,2233210
204,"OFS",52.52,17.35%,-8.54%,-22.40%,-10.33%,0.16,0.16,1.60,1.77,68.16%,-56.24%,-115.98%,3/2/2026 4:30:00 PM,3.92,-1.01%,62348
205,"CZFS",295.59,3.27%,1.20%,11.47%,5.65%,0.10,,0.92,0.92,,26.03%,21.11%,1/29/2026 4:30:00 PM,61.50,1.38%,17967
206,"ZION",8243.32,3.27%,1.00%,13.35%,9.97%,0.36,,0.23,0.67,,23.77%,17.88%,1/20/2026 4:30:00 PM,55.74,-3.03%,1621762
207,"UNB",107.41,6.14%,0.70%,15.04%,2.89%,0.09,,3.74,3.74,,11.33%,13.09%,1/21/2026 4:30:00 PM,23.44,-2.58%,10682
208,"RWAY",284.74,16.75%,5.39%,11.02%,5.88%,0.54,0.54,0.91,0.91,78.67%,69.83%,38.84%,3/12/2026 4:30:00 PM,7.88,-1.13%,373939
209,"IPAR",3032.69,3.38%,11.22%,20.72%,16.54%,2.99,1.97,0.16,0.24,64.90%,18.16%,11.31%,2/24/2026 4:30:00 PM,94.58,-1.36%,205015
210,"AUDC",216.07,4.96%,2.72%,4.93%,4.42%,2.21,1.94,0.18,0.22,64.98%,5.72%,3.65%,2/3/2026 8:30:00 AM,8.06,0.88%,81179
211,"IMOS",1294.65,4.85%,1.13%,2.09%,1.45%,2.40,2.08,0.44,0.68,10.86%,3.81%,2.08%,2/24/2026 8:30:00 AM,36.99,-4.20%,25960
212,"SBLK",2693.63,10.22%,2.13%,3.41%,2.56%,1.78,1.55,0.34,0.44,22.48%,13.49%,8.07%,2/25/2026 4:30:00 PM,23.66,-3.90%,2805314
213,"FDUS",683.56,11.15%,6.36%,11.79%,5.95%,5.57,5.57,0.87,0.87,72.61%,76.11%,51.75%,2/26/2026 4:30:00 PM,18.01,-2.07%,219651
214,"EHLD",20.48,5.78%,,,38.31%,1.68,1.54,0.92,0.99,51.04%,33.37%,111.20%,2/24/2026 4:30:00 PM,7.27,0.44%,4788
215,"PAX",1908.82,5.43%,6.35%,15.57%,10.79%,0.98,0.63,0.28,0.28,95.99%,34.26%,22.18%,2/3/2026 8:30:00 AM,11.97,-2.92%,1063217
216,"OMAB",4662.50,5.82%,18.39%,49.49%,21.63%,1.32,1.14,1.06,1.21,61.41%,55.95%,33.43%,2/23/2026 4:30:00 PM,110.88,-2.38%,111549
217,"WASH",633.08,6.74%,0.77%,10.02%,6.25%,0.03,,0.54,1.26,,17.34%,13.55%,1/28/2026 4:30:00 PM,33.25,-1.31%,232313
218,"CHRD",6898.41,4.32%,0.33%,0.53%,0.46%,1.06,0.98,0.18,0.19,17.52%,15.12%,0.91%,2/25/2026 4:30:00 PM,121.36,1.74%,1936705
219,"MNRO",551.76,6.09%,-0.77%,-2.00%,-1.37%,0.45,0.15,0.68,0.80,34.77%,2.99%,-1.18%,1/28/2026 8:30:00 AM,18.38,-1.97%,748994
220,"NEWT",348.96,6.42%,2.51%,17.44%,2.20%,3.26,2.78,5.64,5.64,75.50%,42.46%,18.06%,1/29/2026 4:30:00 PM,12.08,-2.82%,203185
221,"STBA",1488.63,3.54%,1.37%,9.44%,8.63%,0.03,,0.06,0.21,,29.56%,23.62%,1/22/2026 8:30:00 AM,40.73,-1.90%,220090
222,"CLAR",114.83,3.34%,-17.14%,-21.68%,-22.64%,4.23,2.18,0.05,0.06,28.64%,-8.18%,-18.47%,3/5/2026 4:30:00 PM,2.99,-3.55%,549816
223,"FMNB",743.08,5.43%,1.05%,12.24%,9.42%,0.02,,0.19,0.77,,24.67%,19.49%,1/28/2026 8:30:00 AM,12.53,-2.41%,497547
224,"SGC",160.35,5.48%,1.65%,3.57%,2.43%,2.66,1.76,0.49,0.55,37.60%,2.36%,1.24%,3/3/2026 4:30:00 PM,10.21,-3.13%,51190
225,"OPBK",195.45,3.66%,1.02%,11.79%,7.54%,0.08,,0.49,0.49,,21.21%,15.33%,1/22/2026 4:30:00 PM,13.13,-1.20%,54825
226,"SFNC",2816.23,4.48%,-1.54%,-11.44%,-10.48%,0.09,,0.11,0.20,,-84.10%,-63.36%,1/20/2026 4:30:00 PM,19.44,-2.95%,1245383
227,"WEN",1412.47,7.80%,3.05%,87.63%,3.97%,1.76,1.74,34.40,35.31,26.87%,15.27%,7.58%,2/13/2026 8:30:00 AM,7.42,2.34%,7771505
228,"TRMD",2861.56,11.35%,8.35%,13.34%,9.78%,1.33,1.16,0.32,0.46,33.66%,25.17%,21.30%,2/26/2026 8:30:00 AM,28.24,-2.59%,1336815
229,"SBGI",1117.26,6.41%,-1.77%,-21.83%,-2.28%,2.42,2.42,10.09,10.20,36.13%,4.86%,-3.53%,2/25/2026 4:30:00 PM,15.60,0.58%,492024
230,"MCHB",3423.76,9.39%,1.12%,10.47%,5.43%,0.07,,0.10,0.10,,22.09%,22.63%,1/30/2026 8:30:00 AM,14.80,-0.87%,543446
231,"TIGO",11572.53,5.02%,8.49%,36.21%,10.54%,0.88,0.85,2.43,2.60,55.45%,25.21%,22.62%,2/26/2026 8:30:00 AM,69.28,-2.49%,1288974
232,"CURI",193.56,9.58%,-6.72%,-9.97%,-10.74%,1.62,1.62,0.08,0.08,54.50%,-11.73%,-8.19%,3/11/2026 4:30:00 PM,3.32,-1.48%,308808
233,"JFIN",165.60,12.74%,25.48%,46.87%,38.85%,1.71,1.71,0.01,0.01,80.87%,31.89%,26.21%,11/25/2025 8:30:00 AM,6.28,0.64%,32095
234,"JACK",275.83,3.04%,-4.17%,,-4.54%,0.66,0.65,,,24.70%,14.59%,-5.16%,2/18/2026 4:30:00 PM,14.49,-3.98%,810858
235,"TASK",987.36,10.90%,10.21%,18.65%,11.94%,3.12,3.12,0.43,0.50,32.70%,12.04%,8.64%,2/25/2026 4:30:00 PM,10.92,-4.17%,973947
236,"AMSF",645.98,4.45%,4.53%,18.53%,18.70%,0.63,,0.00,0.00,,18.54%,14.86%,2/25/2026 4:30:00 PM,34.37,-0.92%,149544
237,"EXPI",1050.69,3.08%,-5.45%,-10.15%,-9.36%,1.53,1.53,0.00,0.01,6.99%,-0.45%,-0.48%,2/24/2026 4:30:00 PM,6.49,-4.28%,1032828
238,"MERC",112.53,8.93%,-23.13%,-200.02%,-29.69%,3.05,1.79,23.64,23.89,-3.62%,-9.75%,-26.65%,2/12/2026 4:30:00 PM,1.68,-6.67%,477429
239,"NWL",1777.41,6.70%,-2.62%,-11.09%,-3.87%,1.07,0.57,2.08,2.18,33.81%,6.73%,-3.96%,2/6/2026 8:30:00 AM,4.24,-1.40%,4660032
240,"EPSN",170.39,4.35%,4.74%,5.92%,5.85%,1.93,1.93,0.00,0.00,47.56%,32.42%,12.86%,11/5/2025 4:30:00 PM,5.70,1.42%,277730
241,"BSRR",445.57,3.08%,1.13%,11.72%,9.40%,0.07,,0.23,1.42,,27.92%,20.95%,2/2/2026 8:30:00 AM,33.79,-2.26%,47620
