Date,NAV,Cash,SharesValue,OptionMTM,BlockA_Value,CumPremium,CumDividends,CumCosts,Delta,Gamma,Vega,DailyReturn,SPY_NAV,SPY_Return,ExcessReturn
2025-01-02,5.874956385250764e8,3.0340016268639714e8,0.0,-3.902138685320678e6,2.87997614524e8,3.3309470303971665e6,66809.34,103863.47465290848,1.196556517691545,-0.10020198417043368,-5.077021623257316,0.0,6.0e8,0.0,0.0
2025-01-03,5.91330125951717e8,3.0338430962948453e8,0.0,-3.1474644077674435e6,2.9109328072999996e8,3.3309470303971665e6,66809.34,103863.47465290848,1.1708780071858385,-0.10057147603303655,-4.472014409119242,0.006505628000613939,6.07502052545156e8,0.012425898668002588,-0.00592027066738865
2025-01-06,5.893103713104594e8,3.040287977475982e8,0.0,-4.293797369138696e6,2.89575370932e8,4.0353138442000407e6,66809.34,147785.64313382923,1.244614475456703,-0.12175643460212102,-4.720112351754023,-0.003421459142348482,6.110016420361248e8,0.005744092740666673,-0.009165551883015155
2025-01-07,5.863284894250916e8,3.0415786171010363e8,0.0,-5.157736507011973e6,2.87328364222e8,4.1960138307772735e6,66809.34,163519.6413130764,1.294730075500764,-0.13496258828008387,-4.74194556715092,-0.005072796382322053,6.040948275862069e8,-0.0113684616981935,0.006295665315871446
2025-01-08,5.868394127710643e8,3.041979417946306e8,0.0,-4.7943234735663505e6,2.8743579445000005e8,4.1960138307772735e6,122710.98694,163519.6413130764,1.2861287568694344,-0.1535575560666374,-4.396539991030832,0.0008710149285846569,6.049774220032841e8,0.0014599534050105945,-0.0005889384764259376
2025-01-10,5.783028519439479e8,3.0223076964919275e8,0.0,-5.563218037244915e6,2.81635300332e8,2.0758488117609033e6,399775.36094000004,271755.7925010657,1.350116957666466,-0.13301337037430985,-4.347342416488594,-0.014653512856742879,5.957409688013136e8,-0.015385181844415285,0.000731668987672407
2025-01-13,5.809267264405956e8,3.022043455395705e8,0.0,-4.507972760974867e6,2.8323035366200006e8,2.197315678730666e6,399775.36094000004,404041.7715006074,1.2651716961067396,-0.10756966329881909,-4.0962110375781755,0.004526935865900583,5.966646141215106e8,0.0015492136537424983,0.002977722212158085
2025-01-14,5.816420452332352e8,3.02182575270449e8,0.0,-4.103535677213733e6,2.8356300564e8,2.198784650475915e6,399775.36094000004,411605.21181270207,1.2411378073046648,-0.11632153733629397,-3.693117847147614,0.0012305833432613156,5.974856321839081e8,0.0013750668214527195,-0.00014448347819140395
2025-01-15,5.862766287104073e8,3.019108091647569e8,0.0,-3.069914652349737e6,2.87435734198e8,1.9553127558322742e6,399775.36094000004,424204.3200533338,1.1800110416934417,-0.11074449481989551,-3.2932244459374465,0.007936524875642448,6.083538587848933e8,0.01802648028519016,-0.010089955409547713
2025-01-16,5.866288116756045e8,3.021388554189947e8,0.0,-3.470814329390281e6,2.87960770586e8,2.261698798810443e6,399775.36094000004,486723.9457966186,1.1958480265131979,-0.10137365012366506,-3.27892603797001,0.0006005308930348008,6.07183908045977e8,-0.0019249934179299544,0.002525524310964755
2025-01-17,5.903181157927513e8,2.8378070918290365e8,1.8291945e7,-2.420208960152311e6,2.9066567056999993e8,2.602989191821176e6,399775.36094000004,516001.94148835406,1.127613088980263,-0.08270366686779992,-2.949036643556611,0.006269299175301057,6.132799671592776e8,0.009989824253256785,-0.0037205250779557275
2025-01-21,5.912689644913182e8,2.854345001331403e8,1.7956364e7,-3.595981555822153e6,2.91474081914e8,4.407300736999706e6,399775.36094000004,650593.3174325094,1.1828811273928308,-0.09366305436138658,-4.429601498723627,0.0016094436367524168,6.188936781609194e8,0.009111945972826163,-0.007502502336073746
2025-01-22,5.912884134128582e8,2.8541818522302705e8,1.8145678e7,-3.9945561471689264e6,2.91719106337e8,4.407300736999706e6,399775.36094000004,650953.3507261603,1.2387600010100883,-0.1122703247055799,-4.227997592683006,3.289298583553091e-5,6.223727422003285e8,0.005605683184128907,-0.005572790198293376
2025-01-23,5.928448997138499e8,2.8540186874268496e8,1.8198367e7,-3.55198110683506e6,2.9279664507799995e8,4.407300736999706e6,399775.36094000004,651314.4294364777,1.2309916170167003,-0.0796796538341236,-3.8998142271810035,0.002628905343954102,6.257697044334975e8,0.005443241882648664,-0.002814336538694562
2025-01-24,5.93047823652828e8,2.72129870688418e8,3.0984004e7,-3.1106554475899707e6,2.93044604412e8,4.578187511092357e6,487060.10693999997,670342.6017403187,1.121245145722248,-0.06966504612230545,-3.536237426617139,0.00034222984416842905,6.239429392446634e8,-0.0029234984524890706,0.0032657282966574996
2025-01-27,5.925124480707449e8,2.717554272151432e8,3.1345926e7,-4.150195076398389e6,2.9356128993200004e8,4.240411995680384e6,578133.25694,788399.25689963,1.113736355699727,-0.06763906059884009,-4.209681519019111,-0.0009031605245972685,6.151169950738916e8,-0.014246435063572704,0.013343274538975436
2025-01-28,5.919589461599779e8,2.719161294528088e8,3.1447315e7,-4.342791076830882e6,2.9293829278400004e8,4.42169623583418e6,578133.25694,799855.7584622692,1.1630054603802504,-0.07029291023675323,-4.760222938194446,-0.0009345974140870794,6.204022988505747e8,0.008555651121952224,-0.009490248536039303
2025-01-29,5.913617114345629e8,2.7194347167830503e8,3.1571415e7,-4.319071813742023e6,2.9216589656999993e8,4.468460810204537e6,578133.25694,803304.6119637741,1.1660372232379874,-0.08297639650120578,-4.786980707871494,-0.0010094217020473195,6.176211001642035e8,-0.004492973827815661,0.003483552125768341
2025-01-30,5.925570043954381e8,2.710108887560972e8,3.1528241e7,-3.697962412659198e6,2.9371583705200005e8,3.6079493102716766e6,578133.25694,859418.6547239202,1.141419527795338,-0.0790743513277845,-4.546741414316803,0.0020192152569542543,6.20935960591133e8,0.005352790673669006,-0.0033335754167147513
2025-01-31,5.907981574780843e8,2.710704855620677e8,3.1047287e7,-3.5951270319833416e6,2.9227551194799995e8,3.62575357525302e6,640522.1419399999,864025.365282809,1.153592350279113,-0.05893108188736937,-4.430575737225064,-0.0029726463689172533,6.176313628899837e8,-0.005336174271619143,0.0023635279027018896
2025-02-03,5.888236805623722e8,2.682306399684537e8,3.364837e7,-3.9408878880814104e6,2.9088555848199993e8,3.857067255384632e6,640522.1419399999,919272.4665249912,1.1610254941885947,-0.09157203566915655,-4.2963706441494764,-0.003347647010244259,6.134749589490968e8,-0.006752332693604757,0.0034046856833604977
2025-02-04,5.909692611947256e8,2.6821051134326872e8,3.415697796e7,-3.676766254543133e6,2.92278538146e8,3.877971665084493e6,640522.1419399999,952379.7786760442,1.1578092961612256,-0.07549769990529835,-4.153598700344448,0.0036372195862561796,6.175903119868636e8,0.006685865428710969,-0.003048645842454789
2025-02-05,5.897233093745712e8,2.6814363628584749e8,3.405338132e7,-3.9334743092762157e6,2.91459766078e8,3.8384891224398934e6,640522.1419399999,963825.5038648314,1.14380721923349,-0.07010880504577725,-3.8059400513648978,-0.0021105448000753313,6.200944170771757e8,0.004046440015443409,-0.00615698481551874
2025-02-06,5.90201331775978e8,2.683823889158584e8,3.376202896e7,-4.018932993880447e6,2.9207584689399993e8,4.114047948182355e6,640522.1419399999,984718.530930715,1.154981991304011,-0.0592400014945124,-3.6781785382688703,0.0008102592502723382,6.222495894909688e8,0.003469529477069244,-0.002659270226796906
2025-02-07,5.869260043279499e8,2.672381525866949e8,3.33266142e7,-3.881219382744905e6,2.9024245692399997e8,2.9852978740439774e6,691467.4419399999,1.0352240182729276e6,1.1456985033641212,-0.0717062259279333,-3.462765649569646,-0.005564964469549238,6.16553776683087e8,-0.009195733722666688,0.0036307692531174496
2025-02-10,5.896659732758436e8,2.6792888111497998e8,3.3805923879999995e7,-4.192999969136185e6,2.9212416824999994e8,3.7395483224168126e6,770739.0619399999,1.162179872529494e6,1.169520202529718,-0.08531447464421944,-4.4531828584206625,0.004657475068697181,6.207409688013136e8,0.006768327624751436,-0.0021108525560542546
2025-02-11,5.922651066244175e8,2.6799036746405604e8,3.451807356e7,-4.0718106336385245e6,2.9382847623399997e8,3.82821764286028e6,770739.0619399999,1.1734512223958229e6,1.1418028369940452,-0.04435374367471212,-4.171517780131647,0.004398120300681541,6.212130541871921e8,0.0007602300888365221,0.0036378902118450185
2025-02-12,5.919782532586781e8,2.677244169774862e8,3.421836736e7,-3.770835026808154e6,2.93806303948e8,3.592046106409997e6,770739.0619399999,1.1872484156699777e6,1.1367893218137348,-0.07211944051220107,-3.8967676590998828,-0.0004844500396892215,6.192118226600986e8,-0.0032266899846469244,0.002742239944957703
2025-02-13,5.960248519922436e8,2.678613469060805e8,3.462201336e7,-3.534462505836797e6,2.9707595423200005e8,3.826570128897219e6,770739.0619399999,1.2688684932051138e6,1.145565145904547,-0.0717044073122012,-3.9156096992256555,0.0068124643206317614,6.257491789819376e8,0.01050220272003699,-0.003689738399405229
2025-02-14,5.951273913260437e8,2.5532323678906125e8,4.704941732e7,-3.558066343017496e6,2.9631280356e8,4.076466094798178e6,840521.0269399999,1.2961093308334192e6,1.1489132083212108,-0.0868743858620046,-3.8757306534155633,-0.0015068784717549022,6.257183908045977e8,-4.920331631552699e-5,-0.0014576751554393752
2025-02-18,5.957024540093256e8,2.5574707748980033e8,4.715011244e7,-3.533047900474698e6,2.963383119799999e8,4.420704445232123e6,965677.2269399998,1.325604187429061e6,1.16126095306836,-0.07948083427809502,-3.449680989871067,0.000965818467239643,6.275554187192118e8,0.0029315688499806924,-0.0019657503827410494
2025-02-19,6.006357362309035e8,2.5614377073854753e8,4.841995916e7,-3.341813961643998e6,2.9941382029399997e8,4.802346038766369e6,1.0344175769399999e6,1.3632183715523644e6,1.14964653799247,-0.09329476753218094,-3.745145015995791,0.00824735049801717,6.29033251231527e8,0.0023521351560802373,0.005895215341936932
2025-02-20,6.023829961092702e8,2.562904505732514e8,4.87334934e7,-3.201887495981316e6,3.005609396320001e8,4.955912618092224e6,1.05821201694e6,1.3776919251967405e6,1.1268009322201453,-0.07078259469307714,-3.6793892428064936,0.0029047945139772935,6.264162561576355e8,-0.004169022886117091,0.007073817400094384
2025-02-21,6.001903898662161e8,2.5660345202995607e8,4.8032790120000005e7,-4.262624873740114e6,2.9981677259e8,5.308060545797117e6,1.05821201694e6,1.4005836169368543e6,1.1205478462712049,-0.0709479133165959,-3.9652022591806366,-0.003646527851429937,6.157019704433498e8,-0.017252063817899455,0.013605535966469517
2025-02-24,5.99781561393101e8,2.565464470428576e8,4.783128928e7,-4.0945735657567913e6,2.994983986360001e8,5.284200589947371e6,1.1346856169399999e6,1.4940066344908213e6,1.1437714549415927,-0.07680496535744974,-3.68470709896142,-0.0006813967418217715,6.129002463054187e8,-0.0045608398818615115,0.00387944314003974
2025-02-25,5.964805504052236e8,2.5427107604267436e8,4.728383044e7,-3.2701449794507166e6,2.98195788902e8,3.1437207792051346e6,1.1346856169399999e6,1.6127132421164552e6,1.126733257191218,-0.07020914200912687,-3.2461618140879342,-0.005518889771519042,6.098522167487684e8,-0.0049855321696128385,-0.0005333576019062036
2025-02-26,5.923616503609929e8,2.5381261533708626e8,4.6792842480000004e7,-3.438504694093476e6,2.9519469723800004e8,2.7165866064927527e6,1.1346856169399999e6,1.6279442680764934e6,1.1717476415679253,-0.09252415669814935,-3.388615536929547,-0.006929290569150481,6.101600985221674e8,0.0005047191345219915,-0.007434009703672473
2025-02-27,5.890981155430694e8,2.5084511649229556e8,4.9554116980000004e7,-3.9755934752261373e6,2.92674475546e8,2.7732578159371563e6,1.1346856169399999e6,1.6363274203176787e6,1.178045868909145,-0.10227563637119531,-3.2230940859631385,-0.0055245945950446185,6.004207717569786e8,-0.016090683633894542,0.010566089038849924
2025-02-28,5.947263593276683e8,2.508126566043364e8,5.025425524e7,-2.8903744246682194e6,2.9654982190800005e8,2.7608717798589305e6,1.1346856169399999e6,1.6405049738426676e6,1.1316122839531513,-0.0841534033645716,-2.8103700601479824,0.009508649821334814,6.097906403940886e8,0.015484990096300777,-0.005976340274965963
2025-03-03,5.921442907230791e8,2.4844536762596223e8,5.183211414e7,-4.0802317028830927e6,2.9594704066e8,3.559399107189883e6,1.1346856169399999e6,1.7904204679470775e6,1.14999371791739,-0.08065068599186292,-3.989783499767245,-0.004351059954277758,5.991071428571428e8,-0.01767523412309302,0.013324174168815262
2025-03-04,5.87022368390552e8,2.482509897649113e8,5.1450995400000006e7,-4.795898848359088e6,2.9211628207399994e8,3.4053483431685497e6,1.1346856169399999e6,1.8147690682428994e6,1.2143540165669149,-0.07844057284513442,-4.08228396402316,-0.008687414125933657,5.920155993431855e8,-0.011907466885968887,0.0032200527600352302
2025-03-05,5.884436978015985e8,2.482341252821103e8,5.161951216e7,-4.320434436511706e6,2.92910494796e8,3.4053483431685497e6,1.1346856169399999e6,1.8157932649127403e6,1.2200705883779976,-0.08276608935105506,-3.928205910763246,0.0024183260489145653,5.983784893267651e8,0.010690494254774308,-0.008272168205859742
2025-03-06,5.846827856520584e8,2.482329233535038e8,5.105673666e7,-4.99212316444535e6,2.90385248803e8,3.4254959887318187e6,1.1346856169399999e6,1.8212641996180075e6,1.2175815338210254,-0.07722208973274348,-3.7500306956321934,-0.006411798023822968,5.877565681444992e8,-0.017910616610670616,0.011498818586847648
2025-03-07,5.897928791031339e8,2.3661991425030032e8,6.2800727230000004e7,-3.806546705166309e6,2.94178784328e8,3.110787137338582e6,1.3077533969400001e6,1.8805407334123598e6,1.1676963136968577,-0.06548464627861882,-3.5601482232779587,0.008701969484583572,5.910509031198686e8,0.005589281764738274,0.0031126877198452974
2025-03-10,5.836647476007286e8,2.3568318357037175e8,6.1250960099999994e7,-4.212591163643161e6,2.90943195094e8,2.2722618057023934e6,1.3203431969400004e6,1.975420835760691e6,1.1788484145106803,-0.07987349759553247,-3.6743266722455172,-0.010444667235045557,5.75307881773399e8,-0.026996800128127774,0.016552132893082216
2025-03-11,5.787549650944239e8,2.3572499444252494e8,6.1057197849999994e7,-5.246771198101107e6,2.8721954400000006e8,2.340979141496235e6,1.3203431969400004e6,1.9865776157358864e6,1.2691923856020302,-0.08799546406761788,-3.765449057493666,-0.008447571303353385,5.705254515599343e8,-0.008347563026848803,-0.00010000827650458177
2025-03-12,5.762385694144666e8,2.347780708552058e8,6.108643967e7,-5.519238794739278e6,2.858932976840001e8,1.3419453797834846e6,1.4612819019400002e6,2.0597889488714885e6,1.2359967215745793,-0.08309706270901047,-4.065184773390987,-0.004357426403476694,5.735529556650246e8,0.005292488963654307,-0.009649915367131001
2025-03-13,5.723039418007675e8,2.3076031004263425e8,6.276081794999999e7,-5.026085917866673e6,2.83808899726e8,399294.70775178616,1.4612819019400002e6,2.1194580346810427e6,1.1927230452230864,-0.0509982060423187,-4.178724111610994,-0.006851540917992338,5.659072249589491e8,-0.013420118728422636,0.006568577810430298
2025-03-14,5.785650025873221e8,2.31339543602579e8,6.393509068e7,-4.3678666652569035e6,2.8765823497e8,672095.4639588052,1.7950425019400003e6,2.1355153537074244e6,1.1654700274701042,-0.06676232368940278,-3.975959133066009,0.010880687305377279,5.775964696223316e8,0.020445324142425392,-0.009564636837048113
