ticker,drift,t,lower_bound_drift,upper_bound_drift,volatility
A,0.14746773403244492,1.96,0.1462746076356294,0.14866086042926044,0.23142552049750936
AAL,-0.14129386050077988,1.96,-0.1424869868975954,-0.14010073410396437,0.4549923801751747
AAP,-0.048102133866552856,1.96,-0.04929526026336838,-0.04690900746973733,0.3425621662660561
AAPL,0.24270982336153857,1.96,0.24151669696472305,0.24390294975835408,0.23447402561098152
ABBV,0.11599966268021598,1.96,0.11480653628340046,0.11719278907703151,0.24293842879154118
ABT,0.1230828500165348,1.96,0.12188972361971927,0.12427597641335032,0.19972290276977336
ACN,0.1510124327241155,1.96,0.14981930632729998,0.152205559120931,0.2143672865069754
ADBE,0.22440062711717915,1.96,0.22320750072036363,0.22559375351399466,0.27627344856193997
ADI,0.14644879184490617,1.96,0.14525566544809065,0.14764191824172168,0.25932929353183976
ADM,0.056409297430788555,1.96,0.05521617103397303,0.05760242382760408,0.232950377873975
ADP,0.12922095695785601,1.96,0.1280278305610405,0.13041408335467153,0.20335738026223166
ADSK,0.17576056922429256,1.96,0.17456744282747705,0.17695369562110808,0.31255570589100545
AEE,0.08042987350929838,1.96,0.07923674711248285,0.08162299990611391,0.18596185390595224
AEP,0.0552291207474763,1.96,0.054035994350660775,0.05642224714429183,0.1836762498794759
AES,0.06419316319835583,1.96,0.0630000368015403,0.06538628959517136,0.2885939257889376
AFL,0.10309892833739985,1.96,0.10190580194058432,0.10429205473421538,0.2170950117816721
AIG,0.0078062550555710415,1.96,0.006613128658755514,0.008999381452386568,0.28559840266186376
AIZ,0.09796091060781796,1.96,0.09676778421100243,0.09915403700463349,0.22827791683232612
AJG,0.1907923395995763,1.96,0.1895992132027608,0.19198546599639182,0.18056493282090855
AKAM,0.06880443621518484,1.96,0.06761130981836931,0.06999756261200037,0.2754769571084754
ALB,0.1094761532815895,1.96,0.10828302688477397,0.11066927967840502,0.38686876094724537
ALGN,0.18908378497345937,1.96,0.18789065857664386,0.1902769113702749,0.4067285479447695
ALK,-0.061204329995433286,1.96,-0.062397456392248814,-0.06001120359861776,0.41617806618525105
ALL,0.09464044352601067,1.96,0.09344731712919514,0.0958335699228262,0.20994000365489962
ALLE,0.08861060657088225,1.96,0.08741748017406673,0.08980373296769778,0.23544080101219034
AMAT,0.2343965690338539,1.96,0.23320344263703838,0.2355896954306694,0.3336188865595661
AMD,0.43965769203026206,1.96,0.43846456563344655,0.4408508184270776,0.47419696459399574
AME,0.13525911296923968,1.96,0.13406598657242416,0.1364522393660552,0.21388390256068826
AMGN,0.07500894708799742,1.96,0.0738158206911819,0.07620207348481295,0.2176087294476649
AMP,0.13821102050057196,1.96,0.13701789410375645,0.13940414689738748,0.28277232623714527
AMT,0.10226880440955159,1.96,0.10107567801273606,0.10346193080636712,0.21335319646810375
AMZN,0.2312489595120589,1.96,0.23005583311524339,0.2324420859088744,0.2792911695960346
ANSS,0.16428902272548315,1.96,0.16309589632866764,0.16548214912229867,0.24663608363381306
AON,0.1464987944221363,1.96,0.1453056680253208,0.14769192081895183,0.1928823690901166
AOS,0.09250791914366378,1.96,0.09131479274684826,0.09370104554047931,0.23532193383283942
APA,-0.09609462334736789,1.96,-0.09728774974418342,-0.09490149695055236,0.5232112908040197
APD,0.09292734868220215,1.96,0.09173422228538662,0.09412047507901768,0.2162405850015961
APH,0.1525321954459005,1.96,0.15133906904908498,0.153725321842716,0.207835495069639
ARE,0.05406492792382312,1.96,0.05287180152700759,0.05525805432063865,0.21772539102200703
ATO,0.08350000713749295,1.96,0.08230688074067742,0.08469313353430848,0.17862006759454707
AVB,0.023741608237705318,1.96,0.02254848184088979,0.024934734634520846,0.20531782066428333
AVGO,0.2543267517435079,1.96,0.25313362534669237,0.2555198781403234,0.31816688639302665
AVY,0.14848344460054025,1.96,0.14729031820372473,0.14967657099735576,0.2273049606967934
AWK,0.11812895571655607,1.96,0.11693582931974054,0.1193220821133716,0.1921209780823494
AXP,0.1086590493688607,1.96,0.10746592297204517,0.10985217576567623,0.2663160903975089
AZO,0.17325568661480775,1.96,0.17206256021799224,0.17444881301162327,0.21751190875058024
BA,0.02967479138274464,1.96,0.028481664985929113,0.030867917779560168,0.3506148409157363
BAC,0.09307620823376395,1.96,0.09188308183694842,0.09426933463057947,0.268652819593496
BAX,-0.02002613415656962,1.96,-0.021219260553385147,-0.018833007759754092,0.28066216607933364
BBY,0.11464615999845792,1.96,0.1134530336016424,0.11583928639527345,0.34760709760876307
BDX,0.06804935751160562,1.96,0.0668562311147901,0.06924248390842115,0.1859995906957483
BEN,-0.07807356603966646,1.96,-0.07926669243648199,-0.07688043964285093,0.2844527819795733
BF.B,-0.037913306081493375,1.96,-0.0391064324783089,-0.03672017968467785,0.30487211426111965
BIO,0.14018134298279222,1.96,0.1389882165859767,0.14137446937960774,0.2665087645258375
BK,0.03045462277123854,1.96,0.02926149637442301,0.031647749168054067,0.23544611329502352
BLK,0.10259444186141264,1.96,0.10140131546459712,0.10378756825822817,0.23777835376933842
BMY,0.002408469370688289,1.96,0.0012153429738727616,0.0036015957675038165,0.2263207478410366
BR,0.15494862060098732,1.96,0.1537554942041718,0.15614174699780284,0.19697096101982425
BRK.B,0.11423330633752407,1.96,0.11304017994070854,0.1154264327343396,0.15969284775824752
BRO,0.18599183523348847,1.96,0.18479870883667296,0.187184961630304,0.18714756498733345
BSX,0.14885429603180408,1.96,0.14766116963498857,0.1500474224286196,0.23491166770361308
BWA,-0.03201651354131417,1.96,-0.0332096399381297,-0.030823387144498643,0.31120134406621663
BXP,-0.06485586932853059,1.96,-0.06604899572534612,-0.06366274293171506,0.2652027269422611
C,0.0054446227211617385,1.96,0.004251496324346211,0.006637749117977266,0.28456563804819845
CAG,-0.018600426819466498,1.96,-0.019793553216282025,-0.01740730042265097,0.2453360728955131
CAH,0.006217565044093473,1.96,0.005024438647277946,0.007410691440909001,0.2545117125343104
CAT,0.13585499694032968,1.96,0.13466187054351417,0.1370481233371452,0.2637997830274723
CB,0.08678538728228805,1.96,0.08559226088547252,0.08797851367910357,0.21174354470303097
CBOE,0.10714696545564249,1.96,0.10595383905882697,0.10834009185245802,0.20734828665092175
CCI,0.05685576999319815,1.96,0.05566264359638262,0.05804889639001368,0.20867622623262724
CCL,-0.14961904665665604,1.96,-0.15081217305347155,-0.14842592025984053,0.48550854571794805
CDNS,0.30313568397944063,1.96,0.3019425575826251,0.30432881037625614,0.2648084903980155
CDW,0.21108168076774594,1.96,0.20988855437093043,0.21227480716456146,0.24766230045150264
CE,0.08315164314459672,1.96,0.0819585167477812,0.08434476954141225,0.298060694413465
CF,0.07157918327413967,1.96,0.07038605687732415,0.0727723096709552,0.36058182731399563
CHD,0.10783511273310492,1.96,0.1066419863362894,0.10902823912992045,0.34382805026500185
CHRW,0.04152308766721653,1.96,0.040329961270401005,0.04271621406403206,0.23919886860167328
CHTR,0.10070898442377021,1.96,0.09951585802695469,0.10190211082058574,0.2777755632735988
CI,0.11138819779301831,1.96,0.11019507139620278,0.11258132418983384,0.2647610067153781
CINF,0.08918603118208865,1.96,0.08799290478527312,0.09037915757890418,0.23432197327787482
CL,0.02579089660188206,1.96,0.02459777020506653,0.026984022998697586,0.15604979634472316
CLX,0.044459153773281156,1.96,0.04326602737646563,0.04565228017009668,0.20411954789873446
CMA,0.017496390381687665,1.96,0.016303263984872137,0.018689516778503192,0.36413628235252865
CMCSA,0.04601505253953286,1.96,0.04482192614271733,0.047208178936348384,0.21424875896463694
CME,0.10206371938042635,1.96,0.10087059298361083,0.10325684577724188,0.19963342756322403
CMG,0.17844646527371108,1.96,0.17725333887689557,0.1796395916705266,0.30445987022126847
CMI,0.08265865689411293,1.96,0.0814655304972974,0.08385178329092846,0.24306894611233326
CMS,0.07306010332995849,1.96,0.07186697693314296,0.07425322972677402,0.17764940450426678
CNC,0.12531702574860512,1.96,0.1241238993517896,0.12651015214542063,0.3084492470505057
CNP,0.026030274443331728,1.96,0.0248371480465162,0.027223400840147256,0.21873644259385155
COF,0.05936522446166794,1.96,0.058172098064852414,0.06055835085848347,0.3224523694459476
COO,0.10622904795328393,1.96,0.1050359215564684,0.10742217435009946,0.2270100423606782
COP,0.06639340421482666,1.96,0.06520027781801113,0.06758653061164219,0.33188635798966176
COST,0.18732327953184544,1.96,0.18613015313502992,0.18851640592866095,0.18253016330760058
CPB,-0.006741510234833273,1.96,-0.0079346366316488,-0.005548383838017745,0.21262833119835592
CPRT,0.2703334356470859,1.96,0.2691403092502704,0.2715265620439014,0.23588101766025868
CRL,0.1553330734205013,1.96,0.15413994702368577,0.1565261998173168,0.3023214373870281
CRM,0.1564114232688963,1.96,0.15521829687208077,0.1576045496657118,0.30022518822141203
