Date,NAV,Cash,SharesValue,OptionMTM,BlockA_Value,CumPremium,CumDividends,CumCosts,Delta,Gamma,Vega,DailyReturn,SPY_NAV,SPY_Return,ExcessReturn
2024-01-02,5.99658720736955e8,3.0232743660111195e8,0.0,-2.6672386205187547e6,2.9999852275636196e8,2.274591319263971e6,51368.03821,85607.31634543157,5.470892883696902e6,-411371.9087384241,-1.9654588432867657e7,0.0,6.0e8,0.0,0.0
2024-01-03,5.977193309241467e8,3.0237649854404444e8,0.0,-3.0987532015667385e6,2.9844158558166885e8,2.274591319263971e6,116611.24820999999,85607.31634543157,5.541399165338046e6,-511840.7428041834,-1.9554693349224586e7,-0.0032393971245170405,5.950999711793367e8,-0.008200244995293815,0.0049608478707767745
2024-01-04,5.963889545954148e8,3.023603696097179e8,0.0,-3.313104221898957e6,2.973416892075958e8,2.274591319263971e6,116611.24820999999,85607.31634543157,5.670264125850404e6,-477492.39904451254,-1.9168410156699706e7,-0.00222823490182833,5.931831191897185e8,-0.0032262575607120425,0.0009980226588837127
2024-01-05,5.97037570804635e8,3.024044772384606e8,0.0,-3.282897755343425e6,2.9791599132151794e8,2.3484418324515373e6,116611.24820999999,99257.1655076413,5.691613700567382e6,-515729.7795804031,-1.8135937538369868e7,0.0010869814928362587,5.93995615765776e8,0.0013687858095678962,-0.00028180431673163753
2024-01-08,6.024301907737687e8,3.032118182236869e8,0.0,-2.843519488547791e6,3.0206189203862953e8,3.235030240772483e6,116611.24820999999,166043.95097754258,5.537474681747279e6,-491256.2239656982,-1.859286610327617e7,0.008991748632674046,6.024754806024233e8,0.014175029971429609,-0.005183281338755563
2024-01-09,6.024126264965702e8,3.034900235884959e8,0.0,-2.858098249301117e6,3.0178070115737534e8,3.199103565027763e6,459629.64721,178674.25665678282,5.515379591306611e6,-549703.9263941254,-1.850517451261377e7,-2.9156130487706378e-5,6.015614765389479e8,-0.0015182328642353582,0.0014890767337476518
2024-01-10,6.030747882338217e8,3.038117810748844e8,0.0,-3.1072338552923836e6,3.023702410142298e8,3.550992920219049e6,459629.64721,192550.54664943783,5.6317094781474965e6,-623357.1258243348,-1.9715670302416533e7,0.0010985793725524218,6.049635454338304e8,0.005639465157230461,-0.004540885784678039
2024-01-11,6.012127389580748e8,3.0429017331157327e8,0.0,-4.1637562712745075e6,3.010863219177761e8,4.097228134637006e6,459629.64721,244120.07771199453,5.937330688680961e6,-646778.7717215405,-2.2648930155301727e7,-0.0030923690855608754,6.04696894752178e8,-0.000440868655555704,-0.0026515004300051714
2024-01-12,6.017057303749855e8,3.0386370289283323e8,0.0,-3.7560220212094993e6,3.015980495033617e8,3.723862103835376e6,459629.64721,281001.2647579239,5.890373814648483e6,-658721.7936344857,-2.2394044662606116e7,0.0008196589495987894,6.051158662117819e8,0.0006926220153609108,0.00012703693423787854
2024-01-16,6.011626525688593e8,3.032981709528587e8,0.0,-3.2628510079846485e6,3.011273326239853e8,3.266011299226474e6,459629.64721,372445.8962879779,5.571794284862774e6,-435640.9404483946,-2.052804128153996e7,-0.0009029713486974345,6.028942932704942e8,-0.0036780741094659675,0.002775102760768533
